year,SupplierName,Product,lead_time_real_promedio,lead_time_teorico_promedio,desviacion_promedio,num_pedidos
2014,Proveedor 110,MP02895,31.333333333333332,10.0,21.333333333333332,6
2014,Proveedor 110,MP02896,34.5,10.0,24.5,2
2014,Proveedor 12,MP02950,24.0,10.0,14.0,1
2014,Proveedor 13,MP02013,21.0,10.0,11.0,1
2014,Proveedor 13,MP02406,35.5,10.0,25.5,2
2014,Proveedor 13,MP02409,33.0,10.0,23.0,2
2014,Proveedor 13,MP024118,27.0,10.0,17.0,1
2014,Proveedor 13,MP024122,25.0,10.0,15.0,1
2014,Proveedor 13,MP02413,55.0,10.0,45.0,1
2014,Proveedor 13,MP02416,23.0,10.0,13.0,2
2014,Proveedor 13,MP024178,40.0,10.0,30.0,1
2014,Proveedor 13,MP02418,41.0,10.0,31.0,2
2014,Proveedor 13,MP02419,11.0,10.0,1.0,1
2014,Proveedor 13,MP024197,13.0,10.0,3.0,1
2014,Proveedor 13,MP02421,38.0,10.0,28.0,3
2014,Proveedor 13,MP02423,36.5,10.0,26.5,2
2014,Proveedor 13,MP02437,34.75,10.0,24.75,4
2014,Proveedor 13,MP02801,56.0,10.0,46.0,1
2014,Proveedor 13,MP02804,13.0,10.0,3.0,1
2014,Proveedor 13,MP02808,40.0,10.0,30.0,2
2014,Proveedor 13,MP02811,25.0,10.0,15.0,1
2014,Proveedor 13,MP02812,51.0,10.0,41.0,1
2014,Proveedor 13,MP02821,51.0,10.0,41.0,1
2014,Proveedor 13,MP02822,25.0,10.0,15.0,1
2014,Proveedor 13,MP02934,13.0,10.0,3.0,1
2014,Proveedor 13,MP02935,51.0,10.0,41.0,1
2014,Proveedor 13,MP02949,15.5,10.0,5.5,2
2014,Proveedor 13,MP02952,46.0,10.0,36.0,1
2014,Proveedor 13,MP02959,40.0,10.0,30.0,3
2014,Proveedor 13,MP02963,55.0,10.0,45.0,1
2014,Proveedor 13,MP02967,25.0,10.0,15.0,1
2014,Proveedor 13,MP02969,25.0,10.0,15.0,1
2014,Proveedor 13,MP02970,13.0,10.0,3.0,1
2014,Proveedor 13,MP02984,40.0,10.0,30.0,1
2014,Proveedor 13,MP02992,56.0,10.0,46.0,1
2014,Proveedor 13,MP02999,20.0,10.0,10.0,1
2014,Proveedor 131,MP02443,52.0,10.0,42.0,1
2014,Proveedor 139,MP02464,28.0,10.0,18.0,1
2014,Proveedor 139,MP02481,33.0,10.0,23.0,1
2014,Proveedor 14,MP02105,23.0,10.0,13.0,1
2014,Proveedor 15,MP04227,27.0,10.0,17.0,2
2014,Proveedor 16,MP03501,33.857142857142854,10.0,23.857142857142858,7
2014,Proveedor 16,MP03501Z,33.5,10.0,23.5,2
2014,Proveedor 16,MP03502,24.5,10.0,14.5,2
2014,Proveedor 16,MP03503,44.0,10.0,34.0,1
2014,Proveedor 16,MP03504,62.0,10.0,52.0,2
2014,Proveedor 16,MP03505,32.0,10.0,22.0,1
2014,Proveedor 164,MP02457,27.0,10.0,17.0,1
2014,Proveedor 164,MP02492,28.0,10.0,18.0,1
2014,Proveedor 164,MP02508,41.0,10.0,31.0,1
2014,Proveedor 165,MP03174,48.0,45.0,3.0,1
2014,Proveedor 165,MP03513,36.375,45.0,-8.625,8
2014,Proveedor 17,MP019110,32.2,10.0,22.2,20
2014,Proveedor 17,MP019228,41.75,10.0,31.75,4
2014,Proveedor 17,MP019423,30.0,10.0,20.0,17
2014,Proveedor 17,MP019430,53.0,10.0,43.0,1
2014,Proveedor 17,MP019432,28.8,10.0,18.8,10
2014,Proveedor 17,MP019450,27.529411764705884,10.0,17.529411764705884,17
2014,Proveedor 171,P2182,55.0,10.0,45.0,1
2014,Proveedor 171,P2249,17.0,10.0,7.0,1
2014,Proveedor 171,P6019,20.0,10.0,10.0,1
2014,Proveedor 171,P6045,26.0,10.0,16.0,1
2014,Proveedor 171,P6049,30.0,10.0,20.0,1
2014,Proveedor 171,P6055,14.0,10.0,4.0,1
2014,Proveedor 171,P6083,26.5,10.0,16.5,2
2014,Proveedor 171,P6089,47.0,10.0,37.0,1
